Syntax version=4																
Thu Apr 25 23:25:47 2019																
Starting process (3801787 clocks per sec)																
																
LogRawData=false																
VarHeader=1																
D:		Ax	Ay	Az	Gx	Gy	Gz	Mx	My	Mz	TbY	TbP	TbR	ts		
D:	time(ms)	"(0x20000404,6)"	"(0x20000408,6)"	"(0x2000040c,6)"	"(0x20000410,6)"	"(0x20000414,6)"	"(0x20000418,6)"	"(0x2000041c,6)"	"(0x20000420,6)"	"(0x20000424,6)"	"(0x200002f4,6)"	"(0x200002ec,6)"	"(0x200002f0,6)"			
D:	978.38	1.030825	-10.079176	-3.550619	1.878261	-18.365217	-6.469565	81	2	-111	1.414423	5.509841	-69.856033	7.92		
D:	986.38	1.030825	-10.079176	-3.550619	1.878261	-18.365217	-6.469565	81	2	-111	1.414423	5.509841	-69.856033	8		
D:	994.36	1.030825	-10.079176	-3.550619	1.878261	-18.365217	-6.469565	81	2	-111	1.414423	5.509841	-69.856033	7.98		
D:	1002.35	1.030825	-10.079176	-3.550619	1.878261	-18.365217	-6.469565	81	2	-111	1.414423	5.509841	-69.856033	7.99		
D:	1016.5	1.030825	-10.079176	-3.550619	1.878261	-18.365217	-6.469565	81	2	-111	1.414423	5.509841	-69.856033	14.15		
D:	1024.38	1.030825	-10.079176	-3.550619	1.878261	-18.365217	-6.469565	81	2	-111	1.414423	5.509841	-69.856033	7.88		
D:	1032.39	1.030825	-10.079176	-3.550619	1.878261	-18.365217	-6.469565	81	2	-111	1.414423	5.509841	-69.856033	8.01		
D:	1040.39	1.030825	-10.079176	-3.550619	1.878261	-18.365217	-6.469565	81	2	-111	1.414423	5.509841	-69.856033	8		
D:	1048.36	-0.190893	-14.431547	0.763574	-0.347826	-26.295652	1.391304	64	-27	-141	-22.873665	-0.756778	-86.878265	7.97		
D:	1056.35	-0.190893	-14.431547	0.763574	-0.347826	-26.295652	1.391304	64	-27	-141	-22.873665	-0.756778	-86.878265	7.99		
D:	1064.45	-0.190893	-14.431547	0.763574	-0.347826	-26.295652	1.391304	64	-27	-141	-22.873665	-0.756778	-86.878265	8.1		
D:	1072.34	-0.190893	-14.431547	0.763574	-0.347826	-26.295652	1.391304	64	-27	-141	-22.873665	-0.756778	-86.878265	7.89		
D:	1080.36	-0.190893	-14.431547	0.763574	-0.347826	-26.295652	1.391304	64	-27	-141	-22.873665	-0.756778	-86.878265	8.02		
D:	1088.38	-0.190893	-14.431547	0.763574	-0.347826	-26.295652	1.391304	64	-27	-141	-22.873665	-0.756778	-86.878265	8.02		
D:	1096.36	-0.190893	-14.431547	0.763574	-0.347826	-26.295652	1.391304	64	-27	-141	-22.873665	-0.756778	-86.878265	7.98		
D:	1104.37	-0.190893	-14.431547	0.763574	-0.347826	-26.295652	1.391304	64	-27	-141	-22.873665	-0.756778	-86.878265	8.01		
D:	1112.36	-0.190893	-14.431547	0.763574	-0.347826	-26.295652	1.391304	64	-27	-141	-22.873665	-0.756778	-86.878265	7.99		
